Артикул ;Наименование;Цена 0;Цена 1;Цена 2;Цена 3;Цена 4;Цена 5;Количество;Характеристики (json)
101019-L                 ;Футболка MODERN 155г V-ворот серебро L;245;208;203;196;189;184;1;
101019-M                 ;Футболка MODERN 155г V-ворот серебро M;245;208;203;196;189;184;1;
101019-S                 ;Футболка MODERN 155г V-ворот серебро S;245;208;203;196;189;184;1;
101019-XL                ;Футболка MODERN 155г V-ворот серебро XL;245;208;203;196;189;184;1;
101023-2XL               ;Футболка MODERN 155г V-ворот т.-синий  XXL;245;208;203;196;189;184;1;
101023-L                 ;Футболка MODERN 155г V-ворот т.-синий L;245;208;203;196;189;184;1;
101023-M                 ;Футболка MODERN 155г V-ворот т.-синий M;245;208;203;196;189;184;1;
101023-XL                ;Футболка MODERN 155г V-ворот т.-синий XL;245;208;203;196;189;184;1;
101026-2XL               ;Футболка MODERN 155г V-ворот черный XXL;275;234;228;220;212;206;1;
101026-L                 ;Футболка MODERN 155г V-ворот черный L;275;234;228;220;212;206;1;
101026-M                 ;Футболка MODERN 155г V-ворот черный M;275;234;228;220;212;206;1;
101026-XL                ;Футболка MODERN 155г V-ворот черный XL;275;234;228;220;212;206;1;
101028-2XL               ;Футболка MODERN 155г V-ворот яр.-синий XXL;275;234;228;220;212;206;1;
101028-3XL               ;Футболка MODERN 155г V-ворот яр.-синий 3XL;275;234;228;220;212;206;1;
101028-L                 ;Футболка MODERN 155г V-ворот яр.-синий L;275;234;228;220;212;206;1;
101028-M                 ;Футболка MODERN 155г V-ворот яр.-синий M;275;234;228;220;212;206;1;
101028-S                 ;Футболка MODERN 155г V-ворот яр.-синий S;275;234;228;220;212;206;1;
101028-XL                ;Футболка MODERN 155г V-ворот яр.-синий XL;275;234;228;220;212;206;1;
1-29212-2XL                  ;Женские толстовки с капюшоном 1 РОСТ Красная 2XL;795;676;660;636;612;596;1;
1-29212-3XL                  ;Женские толстовки с капюшоном 1 РОСТ Красная 3XL;795;676;660;636;612;596;1;
1-29212-L                  ;Женские толстовки с капюшоном 1 РОСТ Красная L;795;676;660;636;612;596;1;
